上櫃股票每日收盤行情(不含定價)
產業類別:所有證券(不含權證、牛熊證)
資料日期:114/06/04
代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,成交股數  , 成交金額(元), 成交筆數 ,最後買價,最後買量(張數),最後賣價,最後賣量(張數),發行股數 ,次日漲停價 ,次日跌停價
"00679B","元大美債20年","25.15","-0.08","25.20","25.20","25.13","31,386,000","789,583,200","3,103","25.15","1,120","25.16","26","9,108,192,000","9,999.95","0.01"
"00687B","國泰20年美債","26.44","-0.08","26.47","26.47","26.40","22,689,000","599,646,330","2,439","26.44","152","26.45","1,291","7,151,650,055","9,999.95","0.01"
"00687C","國泰20年美債+櫃U","8.91","-0.03","8.92","8.92","8.91","59,100","527,086","18","8.90","159","8.92","171","263,107","9,999.95","0.01"
"00694B","富邦美債1-3","39.25","+0.04","39.19","39.25","39.19","192,000","7,534,210","18","39.25","50","39.26","45","173,076,000","9,999.95","0.01"
"00695B","富邦美債7-10","33.08","-0.07","33.11","33.11","33.07","207,000","6,847,660","10","33.08","9","33.10","60","39,686,000","9,999.95","0.01"
"00696B","富邦美債20年","27.32","-0.08","27.39","27.39","27.31","4,120,000","112,585,150","111","27.33","41","27.34","160","943,181,000","9,999.95","0.01"
"00697B","元大美債7-10","33.72","-0.04","33.67","33.75","33.67","370,000","12,471,200","60","33.72","4","33.73","73","59,712,000","9,999.95","0.01"
"00718B","富邦中國政策債","19.60","+0.08","19.53","19.60","19.53","204,000","3,991,190","23","19.54","10","19.65","2","5,001,000","9,999.95","0.01"
"00719B","元大美債1-3","29.54","+0.02","29.52","29.54","29.49","1,101,000","32,495,480","181","29.53","23","29.54","29","465,514,000","9,999.95","0.01"
"00720B","元大投資級公司債","31.13","+0.07","31.07","31.16","31.07","3,859,000","120,121,930","545","31.13","21","31.14","38","4,072,609,000","9,999.95","0.01"
"00722B","群益投資級電信債","34.29","+0.06","34.21","34.32","34.21","3,947,000","135,319,430","159","34.29","50","34.30","1","1,487,739,000","9,999.95","0.01"
"00723B","群益投資級科技債","29.77","+0.08","29.72","29.77","29.72","259,000","7,704,060","13","29.75","20","29.78","2","1,507,083,000","9,999.95","0.01"
"00724B","群益投資級金融債","31.59","+0.05","31.59","31.62","31.53","4,416,000","139,477,300","66","31.59","2","31.61","53","2,843,275,000","9,999.95","0.01"
"00725B","國泰投資級公司債","33.15","+0.09","33.10","33.16","33.09","4,250,000","140,839,970","489","33.14","34","33.15","124","3,512,706,000","9,999.95","0.01"
"00726B","國泰新興投等債","30.73","+0.07","30.66","30.75","30.66","216,000","6,632,940","16","30.73","1","30.74","2","1,183,489,000","9,999.95","0.01"
"00727B","國泰優選非投等債","37.75","+0.12","37.70","37.75","37.69","107,000","4,038,970","5","37.74","13","37.80","1","88,689,000","9,999.95","0.01"
"00734B","台新JPM新興債","14.32","+0.02","14.34","14.35","14.32","502,000","7,194,110","14","14.32","49","14.34","5","28,979,000","9,999.95","0.01"
"00740B","富邦全球投等債","36.22","+0.09","36.13","36.24","36.13","4,197,000","151,949,130","115","36.22","37","36.23","214","1,660,471,000","9,999.95","0.01"
"00741B","富邦全球非投等債","35.86","+0.04","35.93","35.93","35.85","418,000","14,987,750","18","35.83","1","35.85","4","16,628,000","9,999.95","0.01"
"00746B","富邦A級公司債","33.27","-0.05","33.32","33.32","33.27","683,000","22,735,940","25","33.25","122","33.26","6","2,421,464,000","9,999.95","0.01"
"00749B","凱基新興債10+","28.53","+0.11","28.53","28.53","28.53","100,000","2,853,000","2","28.46","10","28.52","1","1,007,000,000","9,999.95","0.01"
"00750B","凱基科技債10+","31.65","+0.06","31.65","31.65","31.65","100,000","3,165,000","4","31.56","10","31.64","1","147,500,000","9,999.95","0.01"
"00751B","元大AAA至A公司債","30.17","+0.05","30.12","30.17","30.11","4,772,000","143,829,110","613","30.16","76","30.17","230","4,566,103,000","9,999.95","0.01"
"00754B","群益AAA-AA公司債","32.11","+0.03","32.08","32.12","32.08","152,000","4,879,200","10","32.09","20","32.13","1","869,400,000","9,999.95","0.01"
"00755B","群益投資級公用債","30.48","+0.06","30.44","30.50","30.44","134,000","4,083,920","10","30.45","20","30.49","20","213,230,000","9,999.95","0.01"
"00756B","群益投等新興公債","28.75","+0.09","28.74","28.77","28.71","288,000","8,276,470","38","28.75","22","28.76","2","1,272,300,000","9,999.95","0.01"
"00758B","復華能源債","46.73","+0.28","46.70","46.73","46.70","120,000","5,604,600","4","46.56","25","46.75","18","6,025,000","9,999.95","0.01"
"00759B","復華製藥債","50.50","+0.20","50.50","50.50","50.50","120,000","6,060,000","3","50.35","36","50.55","20","48,025,000","9,999.95","0.01"
"00760B","復華新興企業債","49.63","+0.17","48.80","49.89","48.80","159,000","7,885,730","21","49.60","5","49.64","1","458,520,000","9,999.95","0.01"
"00761B","國泰A級公司債","32.34","+0.02","32.32","32.36","32.32","427,000","13,807,990","40","32.32","52","32.34","4","2,691,589,000","9,999.95","0.01"
"00764B","群益25年美債","26.55","-0.07","26.58","26.58","26.51","15,352,000","407,438,440","168","26.55","137","26.56","178","1,365,000,000","9,999.95","0.01"
"00768B","復華20年美債","49.12","-0.17","49.13","49.15","49.07","844,000","41,444,310","24","49.08","5","49.11","8","457,600,000","9,999.95","0.01"
"00772B","中信高評級公司債","31.63","+0.05","31.56","31.63","31.56","3,249,000","102,672,530","261","31.61","29","31.63","138","3,475,290,000","9,999.95","0.01"
"00773B","中信優先金融債","33.41","+0.06","33.36","33.42","33.36","1,399,000","46,705,000","80","33.39","5","33.41","12","2,638,790,000","9,999.95","0.01"
"00777B","凱基AAA至A公司債","30.84","+0.03","30.87","30.87","30.84","101,000","3,117,840","3","30.80","3","30.88","10","1,861,650,000","9,999.95","0.01"
"00778B","凱基金融債20+","32.33","+0.09","32.33","32.33","32.33","100,000","3,233,000","2","32.31","1","32.32","1","1,501,150,000","9,999.95","0.01"
"00779B","凱基美債25+","26.75","-0.09","26.77","26.78","26.74","1,060,000","28,355,030","41","26.75","10","26.76","105","1,168,650,000","9,999.95","0.01"
"00780B","國泰A級金融債","35.19","+0.03","35.20","35.20","35.17","124,000","4,363,190","8","35.17","1","35.18","1","300,602,000","9,999.95","0.01"
"00781B","國泰A級科技債","28.01","+0.12","28.00","28.09","27.99","122,000","3,419,590","13","28.01","4","28.09","31","6,836,000","9,999.95","0.01"
"00782B","國泰A級公用債","28.84","+0.01","28.86","28.86","28.84","103,000","2,972,560","4","28.84","2","28.85","1","17,467,000","9,999.95","0.01"
"00785B","富邦金融投等債","32.55","+0.01","32.61","32.61","32.55","117,000","3,810,410","4","32.52","45","32.56","1","1,023,466,000","9,999.95","0.01"
"00786B","元大10年IG銀行債","30.11","+0.04","30.11","30.15","30.09","37,000","1,113,700","15","30.11","39","30.13","1","34,566,000","9,999.95","0.01"
"00787B","元大10年IG醫療債","30.45","-0.03","30.42","30.52","30.42","6,000","182,770","6","30.44","2","30.47","1","16,806,000","9,999.95","0.01"
"00788B","元大10年IG電能債","27.77","+0.07","27.76","27.77","27.74","12,000","333,040","10","27.70","27","27.75","1","37,706,000","9,999.95","0.01"
"00789B","復華公司債A3","45.81","+0.07","45.81","45.81","45.81","100,000","4,581,000","4","45.77","10","45.80","1","438,600,000","9,999.95","0.01"
"00791B","復華信用債1-5","53.50","+0.05","53.50","53.50","53.50","100,000","5,350,000","4","53.25","26","53.45","1","255,100,000","9,999.95","0.01"
"00792B","群益A級公司債","29.95","+0.05","29.99","29.99","29.94","250,000","7,488,640","16","29.95","1","29.96","2","1,969,615,000","9,999.95","0.01"
"00793B","群益AAA-A醫療債","28.93","+0.10","28.93","28.93","28.93","50,000","1,446,500","2","28.87","20","28.94","10","4,526,000","9,999.95","0.01"
"00794B","群益7+中國政金債","39.38","+0.10","39.28","39.38","39.28","51,000","2,008,280","3","39.27","12","39.44","24","2,687,000","9,999.95","0.01"
"00795B","中信美國公債20年","25.43","-0.08","25.48","25.48","25.40","15,151,000","385,192,700","588","25.42","380","25.43","13","2,100,098,000","9,999.95","0.01"
"00799B","國泰A級醫療債","28.23","+0.05","28.28","28.28","28.22","137,000","3,867,300","10","28.22","1","28.24","25","11,536,000","9,999.95","0.01"
"00834B","第一金金融債10+","31.72","+0.02","31.72","31.72","31.72","100,000","3,172,000","2","31.68","33","31.69","11","21,698,000","9,999.95","0.01"
"00836B","永豐10年A公司債","27.12","+0.04","27.14","27.14","27.11","185,000","5,016,060","15","27.10","71","27.13","1","436,041,000","9,999.95","0.01"
"00840B","凱基IG精選15+","28.22","+0.03","28.22","28.22","28.22","100,000","2,822,000","2","28.13","10","28.18","1","59,431,000","9,999.95","0.01"
