"109年08月05日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","14,666.62","+","112.26","0.77","",
"發行量加權股價指數","12,802.30","+","92.38","0.73","",
"臺灣公司治理100指數","7,503.43","+","39.42","0.53","",
"臺灣50指數","10,275.78","+","55.26","0.54","",
"臺灣50權重上限30%指數","9,796.03","+","46.53","0.48","",
"臺灣中型100指數","9,740.46","+","132.35","1.38","",
"臺灣資訊科技指數","17,152.74","+","134.83","0.79","",
"臺灣發達指數","8,310.41","+","59.48","0.72","",
"臺灣高股息指數","6,846.64","+","86.77","1.28","",
"臺灣就業99指數","6,917.62","+","32.14","0.47","",
"臺灣高薪100指數","6,449.24","+","31.08","0.48","",
"未含金融指數","11,077.80","+","87.72","0.80","",
"未含電子指數","14,142.45","+","69.89","0.50","",
"未含金融電子指數","11,726.05","+","74.16","0.64","",
"小型股300指數","6,873.54","+","78.21","1.15","",
"水泥窯製類指數","596.90","+","10.34","1.76","",
"塑膠化工類指數","742.55","+","7.86","1.07","",
"機電類指數","3,436.30","+","29.19","0.86","",
"水泥類指數","167.73","+","2.91","1.77","",
"食品類指數","1,752.77","+","9.48","0.54","",
"塑膠類指數","212.46","+","1.92","0.91","",
"紡織纖維類指數","499.03","+","6.21","1.26","",
"電機機械類指數","195.23","+","0.47","0.24","",
"電器電纜類指數","50.19","+","1.08","2.20","",
"化學生技醫療類指數","106.57","+","1.57","1.50","",
"化學類指數","110.20","+","2.15","1.99","",
"生技醫療類指數","70.93","+","0.73","1.04","",
"玻璃陶瓷類指數","28.29","+","0.49","1.76","",
"造紙類指數","228.18","+","1.10","0.48","",
"鋼鐵類指數","88.32","+","0.58","0.66","",
"橡膠類指數","239.66","+","2.41","1.02","",
"汽車類指數","329.95","-","1.80","-0.54","",
"電子工業類指數","616.29","+","5.27","0.86","",
"半導體類指數","289.69","+","2.33","0.81","",
"電腦及週邊設備類指數","115.90","+","1.68","1.47","",
"光電類指數","39.58","+","0.36","0.92","",
"通信網路類指數","123.99","+","0.13","0.10","",
"電子零組件類指數","135.94","+","2.54","1.90","",
"電子通路類指數","126.02","+","0.92","0.74","",
"資訊服務類指數","125.52","+","1.03","0.83","",
"其他電子類指數","79.05","+","0.04","0.05","",
"建材營造類指數","305.90","+","0.82","0.27","",
"航運類指數","57.35","+","0.04","0.07","",
"觀光類指數","86.30","+","0.45","0.52","",
"金融保險類指數","1,259.16","+","2.46","0.20","",
"貿易百貨類指數","258.15","-","2.24","-0.86","",
"油電燃氣類指數","106.35","+","0.16","0.15","",
"其他類指數","288.97","+","3.38","1.18","",
"臺指日報酬兩倍指數","22,100.08","+","316.66","1.45","",
"臺指反向一倍指數","5,762.06","-","42.19","-0.73","",
"電子類兩倍槓桿指數","23,198.76","+","393.39","1.72","",
"電子類反向指數","5,176.30","-","45.03","-0.86","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","4,795.24","+","34.89","0.73","",
"臺灣中小型公司治理指數","6,473.77","+","79.46","1.24","",
"臺灣IPO指數","5,925.11","+","53.50","0.91","",
"智慧中立指數","--","","--","--","",
"臺灣企業社會責任中小型指數","5,168.85","+","54.68","1.07","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"金融類日報酬兩倍指數","18,654.17","+","72.75","0.39","",
"金融類日報酬反向一倍指數","6,455.80","-","12.66","-0.20","",
"漲升股利150指數","6,656.25","+","58.62","0.89","",
"漲升股利100指數","6,504.82","+","49.49","0.77","",
"藍籌30指數","6,735.88","+","28.54","0.43","",
"工業菁英30指數","7,397.92","+","64.96","0.89","",
"電子菁英30指數","7,462.40","+","51.15","0.69","",
"低波動股利精選30指數","5,756.04","+","29.84","0.52","",
"低貝塔100指數","5,900.91","+","35.50","0.61","",
"藍籌30反向一倍指數","6,784.53","-","28.99","-0.43","",
"中小型精選50指數","6,125.85","+","53.54","0.88","",
"中小型A級動能50指數","9,508.36","+","188.46","2.02","",
"特選高息低波指數","5,346.64","+","40.47","0.76","",
"臺灣永續指數","6,486.81","+","38.01","0.59","",
"工業菁英30反向一倍指數","7,075.01","-","63.24","-0.89","",
"特選內需高收益指數","5,608.58","+","16.71","0.30","",
"價值投資指數","6,364.46","+","75.92","1.21","",
"中小型300指數","6,558.50","+","73.01","1.13","",
"臺灣勞工權益指數","5,781.14","+","41.84","0.73","",
"智慧投資多因子30指數","5,122.27","+","37.03","0.73","",
"臺股期貨指數","--","","--","--","",
"臺灣上櫃企業社會責任指數","5,212.66","+","68.17","1.33","",
"報酬指數(臺灣證券交易所)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價報酬指數","18,912.26","+","152.83","0.81","",
"發行量加權股價報酬指數","24,503.19","+","187.05","0.77","",
"臺灣公司治理100報酬指數","9,468.54","+","54.91","0.58","",
"臺灣50報酬指數","--","","--","--","",
"臺灣50權重上限30%報酬指數","--","","--","--","",
"臺灣中型100報酬指數","--","","--","--","",
"臺灣資訊科技報酬指數","--","","--","--","",
"臺灣發達報酬指數","--","","--","--","",
"臺灣高股息報酬指數","--","","--","--","",
"臺灣就業99報酬指數","9,834.71","+","64.35","0.66","",
"臺灣高薪100報酬指數","8,355.81","+","40.26","0.48","",
"未含金融電子報酬指數","22,726.13","+","169.04","0.75","",
"小型股300報酬指數","8,340.57","+","96.55","1.17","",
"水泥類報酬指數","288.50","+","4.99","1.76","",
"食品類報酬指數","2,469.52","+","13.35","0.54","",
"塑膠類報酬指數","349.61","+","3.16","0.91","",
"紡織纖維類報酬指數","756.95","+","9.43","1.26","",
"電機機械類報酬指數","279.44","+","0.89","0.32","",
"電器電纜類報酬指數","70.87","+","1.53","2.21","",
"化學生技醫療類報酬指數","156.29","+","2.32","1.51","",
"化學類報酬指數","170.96","+","3.35","2.00","",
"生技醫療類報酬指數","95.13","+","1.00","1.06","",
"玻璃陶瓷類報酬指數","32.50","+","0.57","1.79","",
"造紙類報酬指數","327.64","+","1.58","0.48","",
"鋼鐵類報酬指數","135.32","+","0.88","0.65","",
"橡膠類報酬指數","357.00","+","3.58","1.01","",
"汽車類報酬指數","487.89","-","2.66","-0.54","",
"電子工業類報酬指數","1,077.65","+","9.23","0.86","",
"半導體類報酬指數","480.13","+","3.86","0.81","",
"電腦及週邊設備類報酬指數","225.28","+","3.27","1.47","",
"光電類報酬指數","53.62","+","0.49","0.92","",
"通信網路類報酬指數","242.49","+","0.26","0.11","",
"電子零組件類報酬指數","236.77","+","4.43","1.91","",
"電子通路類報酬指數","263.74","+","1.91","0.73","",
"資訊服務類報酬指數","259.32","+","2.37","0.92","",
"其他電子類報酬指數","116.71","+","0.07","0.06","",
"建材營造類報酬指數","543.14","+","1.45","0.27","",
"航運類報酬指數","79.64","+","0.06","0.08","",
"觀光類報酬指數","113.54","+","0.59","0.52","",
"金融保險類報酬指數","1,976.81","+","6.07","0.31","",
"貿易百貨類報酬指數","380.18","+","3.86","1.03","",
"油電燃氣類報酬指數","160.07","+","0.24","0.15","",
"其他類報酬指數","457.00","+","5.44","1.20","",
"報酬指數(跨市場)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技報酬指數","5,095.90","+","37.71","0.75","",
"臺灣中小型公司治理報酬指數","7,708.04","+","94.88","1.25","",
"臺灣IPO報酬指數","6,462.33","+","66.22","1.04","",
"智慧中立報酬指數","--","","--","--","",
"加權指數掩護性臺指買權價外5%報酬指數","--","","--","--","",
"臺灣5G報酬指數","6,854.49","+","61.34","0.90","",
"臺灣企業社會責任中小型報酬指數","5,345.61","+","57.07","1.08","",
"報酬指數(臺灣指數公司)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"漲升股利150報酬指數","8,127.25","+","76.30","0.95","",
"漲升股利100報酬指數","7,968.11","+","64.80","0.82","",
"藍籌30報酬指數","7,861.65","+","33.31","0.43","",
"工業菁英30報酬指數","8,636.27","+","75.84","0.89","",
"電子菁英30報酬指數","8,605.23","+","58.99","0.69","",
"低波動股利精選30報酬指數","6,776.44","+","35.13","0.52","",
"低貝塔100報酬指數","6,945.86","+","50.15","0.73","",
"中小型精選50報酬指數","7,376.65","+","64.96","0.89","",
"中小型A級動能50報酬指數","10,549.80","+","212.90","2.06","",
"特選高息低波報酬指數","6,477.77","+","49.02","0.76","",
"臺灣永續報酬指數","--","","--","--","",
"特選內需高收益報酬指數","6,438.68","+","31.16","0.49","",
"價值投資報酬指數","7,511.35","+","89.59","1.21","",
"存股雙十等權重報酬指數","5,928.03","+","61.74","1.05","",
"特選大蘋果報酬指數","6,876.28","+","22.11","0.32","",
"中小型300報酬指數","7,025.19","+","82.94","1.19","",
"特股高息20報酬指數","5,810.58","+","10.70","0.18","",
"臺灣500報酬指數","7,041.98","+","52.79","0.76","",
"特選外資豐擁50報酬指數","7,110.48","+","38.73","0.55","",
"臺灣勞工權益報酬指數","6,247.23","+","47.16","0.76","",
"微波高息精選20報酬指數","5,090.78","+","34.76","0.69","",
"特選世代行動通訊報酬指數","5,763.68","+","73.04","1.28","",
"智慧投資多因子30報酬指數","5,308.16","+","52.50","1.00","",
"特選大蘋果報酬正向兩倍指數","10,591.70","+","67.89","0.65","",
"特選大蘋果報酬反向一倍指數","9,023.98","-","29.20","-0.32","",
"特選價值成長報酬指數","5,227.85","+","54.44","1.05","",
"臺灣上櫃企業責任報酬指數","5,407.97","+","75.00","1.41","",
"109年08月05日 大盤統計資訊"
"成交統計","成交金額(元)","成交股數(股)","成交筆數",
"1.一般股票","223,594,851,610","3,918,068,000","1,535,442",
"2.台灣存託憑證","1,049,637,840","55,155,000","16,854",
"3.受益憑證","0","0","0",
"4.ETF","10,677,850,960","748,946,500","96,268",
"5.受益證券","13,189,050","825,000","126",
"6.變更交易股票","347,016,540","28,124,000","6,336",
"7.認購(售)權證","3,233,921,050","2,252,161,000","120,747",
"8.轉換公司債","0","0","0",
"9.附認股權特別股","0","0","0",
"10.附認股權公司債","0","0","0",
"11.認股權憑證","0","0","0",
"12.公司債","0","0","0",
"13.ETN","76,253,180","8,369,000","789",
"證券合計(1+6)","223,941,868,150","3,946,192,000","1,541,778",
"總計(1~13)","238,992,720,230","7,011,648,500","1,776,562",
"漲跌證券數合計"
"類型","整體市場","股票",
"上漲(漲停)","5,476(61)","606(14)",
"下跌(跌停)","3,079(22)","230(1)",
"持平","558","91",
"未成交","7,070","2",
"無比價","1,382","14",
"備註:"
""漲跌價差"為當日收盤價與前一日收盤價比較。",
""無比價"含前一日無收盤價、當日除權、除息、新上市、恢復交易者。",
"不加計外幣交易證券交易金額。",

"109年08月05日每日收盤行情(全部(不含權證、牛熊證))"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
