"109年06月09日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","13,354.25","+","27.43","0.21","",
"發行量加權股價指數","11,637.11","+","26.79","0.23","",
"臺灣公司治理100指數","6,644.20","+","21.11","0.32","",
"臺灣50指數","8,945.70","+","18.16","0.20","",
"臺灣50權重上限30%指數","8,808.44","+","16.02","0.18","",
"臺灣中型100指數","8,856.13","+","17.07","0.19","",
"臺灣資訊科技指數","13,167.19","+","17.42","0.13","",
"臺灣發達指數","8,321.99","+","28.06","0.34","",
"臺灣高股息指數","6,744.13","-","9.83","-0.15","",
"臺灣就業99指數","6,608.11","-","16.89","-0.25","",
"臺灣高薪100指數","6,244.72","+","4.66","0.07","",
"未含金融指數","9,885.58","+","25.30","0.26","",
"未含電子指數","14,619.06","+","63.35","0.44","",
"未含金融電子指數","12,122.97","+","73.22","0.61","",
"小型股300指數","6,670.32","+","12.79","0.19","",
"水泥窯製類指數","597.12","-","1.26","-0.21","",
"塑膠化工類指數","789.04","+","4.84","0.62","",
"機電類指數","2,880.32","+","2.58","0.09","",
"水泥類指數","168.04","-","0.49","-0.29","",
"食品類指數","1,809.27","+","1.62","0.09","",
"塑膠類指數","237.60","+","1.16","0.49","",
"紡織纖維類指數","510.01","+","1.96","0.39","",
"電機機械類指數","185.57","+","0.85","0.46","",
"電器電纜類指數","48.10","-","0.06","-0.12","",
"化學生技醫療類指數","101.61","+","1.16","1.15","",
"化學類指數","103.21","+","0.19","0.18","",
"生技醫療類指數","68.76","+","1.40","2.08","",
"玻璃陶瓷類指數","27.82","+","0.19","0.69","",
"造紙類指數","211.57","+","1.71","0.81","",
"鋼鐵類指數","93.38","+","0.43","0.46","",
"橡膠類指數","236.24","+","0.76","0.32","",
"汽車類指數","333.06","+","9.28","2.87","",
"電子工業類指數","514.66","+","0.41","0.08","",
"半導體類指數","219.20","+","0.26","0.12","",
"電腦及週邊設備類指數","108.14","+","0.27","0.25","",
"光電類指數","38.83","-","0.24","-0.61","",
"通信網路類指數","126.08","-","0.26","-0.21","",
"電子零組件類指數","118.66","+","0.64","0.54","",
"電子通路類指數","125.58","-","0.07","-0.06","",
"資訊服務類指數","129.35","-","1.27","-0.97","",
"其他電子類指數","79.42","+","0.03","0.04","",
"建材營造類指數","304.80","+","0.70","0.23","",
"航運類指數","62.65","-","0.20","-0.32","",
"觀光類指數","98.77","-","0.32","-0.32","",
"金融保險類指數","1,301.24","+","0.83","0.06","",
"貿易百貨類指數","267.82","+","2.78","1.05","",
"油電燃氣類指數","124.15","+","1.24","1.01","",
"其他類指數","274.04","+","0.97","0.36","",
"臺指日報酬兩倍指數","18,323.44","+","84.17","0.46","",
"臺指反向一倍指數","6,361.32","-","14.71","-0.23","",
"電子類兩倍槓桿指數","16,286.56","+","25.93","0.16","",
"電子類反向指數","6,241.81","-","4.98","-0.08","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","4,674.11","+","43.76","0.95","",
"臺灣中小型公司治理指數","5,992.02","+","21.06","0.35","",
"臺灣IPO指數","5,868.59","+","61.13","1.05","",
"智慧中立指數","4,906.65","-","8.08","-0.16","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"金融類日報酬兩倍指數","19,964.25","+","25.45","0.13","",
"金融類日報酬反向一倍指數","6,260.21","-","4.00","-0.06","",
"漲升股利150指數","6,346.89","+","12.42","0.20","",
"漲升股利100指數","6,330.64","+","21.18","0.34","",
"藍籌30指數","6,155.63","+","24.56","0.40","",
"工業菁英30指數","6,582.62","+","12.34","0.19","",
"電子菁英30指數","6,623.79","+","6.45","0.10","",
"低波動股利精選30指數","5,973.77","+","7.87","0.13","",
"低貝塔100指數","5,942.90","+","9.67","0.16","",
