"113年02月19日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","21,367.67","+","37.75","0.18","",
"發行量加權股價指數","18,635.80","+","28.55","0.15","",
"臺灣公司治理100指數","10,508.44","+","3.19","0.03","",
"臺灣50指數","14,170.87","-","8.20","-0.06","",
"臺灣50權重上限30%指數","12,978.47","+","23.22","0.18","",
"臺灣中型100指數","18,880.62","-","5.01","-0.03","",
"臺灣資訊科技指數","27,766.36","-","135.84","-0.49","",
"臺灣發達指數","9,704.07","+","87.71","0.91","",
"臺灣高股息指數","9,064.60","+","18.34","0.20","",
"臺灣就業99指數","11,888.05","+","52.47","0.44","",
"臺灣高薪100指數","10,058.93","+","26.68","0.27","",
"未含金融指數","16,276.36","+","9.07","0.06","",
"未含電子指數","18,345.58","+","192.87","1.06","",
"未含金融電子指數","14,941.12","+","162.65","1.10","",
"小型股300指數","10,427.40","+","75.88","0.73","",
"水泥窯製類指數","592.91","+","12.94","2.23","",
"塑膠化工類指數","783.10","+","7.32","0.94","",
"機電類指數","5,362.65","-","13.07","-0.24","",
"水泥類指數","153.40","+","3.13","2.08","",
"食品類指數","2,070.95","+","21.43","1.05","",
"塑膠類指數","204.71","+","2.24","1.11","",
"紡織纖維類指數","619.23","+","4.67","0.76","",
"電機機械類指數","348.43","+","6.28","1.84","",
"電器電纜類指數","102.95","+","1.14","1.12","",
"化學生技醫療類指數","129.21","+","1.11","0.87","",
"化學類指數","165.17","+","2.65","1.63","",
"生技醫療類指數","68.82","+","0.18","0.26","",
"玻璃陶瓷類指數","52.60","+","1.61","3.16","",
"造紙類指數","340.31","+","4.60","1.37","",
"鋼鐵類指數","143.31","+","2.04","1.44","",
"橡膠類指數","269.71","+","1.10","0.41","",
"汽車類指數","406.07","+","6.09","1.52","",
"電子工業類指數","957.40","-","2.96","-0.31","",
"半導體類指數","455.07","-","2.40","-0.52","",
"電腦及週邊設備類指數","262.33","-","3.91","-1.47","",
"光電類指數","38.02","+","0.63","1.68","",
"通信網路類指數","152.29","+","0.95","0.63","",
"電子零組件類指數","210.86","+","0.45","0.21","",
"電子通路類指數","273.60","+","1.95","0.72","",
"資訊服務類指數","183.16","-","0.12","-0.07","",
"其他電子類指數","102.46","+","1.25","1.24","",
"建材營造類指數","438.71","+","6.80","1.57","",
"航運類指數","149.65","+","0.94","0.63","",
"觀光餐旅類指數","123.35","+","0.54","0.44","",
"金融保險類指數","1,706.20","+","16.55","0.98","",
"貿易百貨類指數","279.74","+","3.10","1.12","",
"油電燃氣類指數","100.26","+","0.39","0.39","",
"綠能環保類指數","100.20","+","1.69","1.72","",
"數位雲端類指數","74.35","+","1.84","2.54","",
"運動休閒類指數","90.97","-","0.65","-0.71","",
"居家生活類指數","105.28","+","1.01","0.97","",
"其他類指數","363.37","+","5.12","1.43","",
"臺指日報酬兩倍指數","42,737.83","+","130.75","0.31","",
"臺指反向一倍指數","3,603.59","-","5.54","-0.15","",
"電子類兩倍槓桿指數","48,846.10","-","302.97","-0.62","",
"電子類反向指數","2,902.79","+","8.92","0.31","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","4,058.75","+","25.74","0.64","",
"臺灣中小型公司治理指數","10,063.72","-","29.90","-0.30","",
"臺灣IPO指數","5,499.84","-","108.46","-1.93","",
"智慧中立指數","3,426.59","+","1.70","0.05","",
"臺灣5G指數","9,354.41","+","1.07","0.01","",
"臺灣企業社會責任中小型指數","11,688.72","+","23.77","0.20","",
"特選臺灣電動車代表指數","8,524.31","+","47.17","0.56","",
"臺灣5G+通訊指數","7,614.05","-","20.95","-0.27","",
