上櫃股票每日收盤行情(不含定價)
產業類別:所有證券(不含權證、牛熊證)
資料日期:114/04/24
代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,成交股數  , 成交金額(元), 成交筆數 ,最後買價,最後買量(張數),最後賣價,最後賣量(張數),發行股數 ,次日漲停價 ,次日跌停價
"00679B","元大美債20年","28.21","+0.03","28.22","28.23","28.18","23,734,000","669,438,300","3,416","28.20","2,605","28.21","46","9,101,692,000","9,999.95","0.01"
"00687B","國泰20年美債","29.27","+0.03","29.29","29.30","29.24","21,721,000","635,841,750","2,690","29.27","2,500","29.28","467","7,292,150,055","9,999.95","0.01"
"00687C","國泰20年美債+櫃U","9.11","0.00","9.11","9.11","9.11","51,900","472,809","12","9.11","102","9.12","127","213,687","9,999.95","0.01"
"00694B","富邦美債1-3","42.42","+0.06","42.41","42.44","42.40","541,000","22,948,400","95","42.40","101","42.42","5","175,076,000","9,999.95","0.01"
"00695B","富邦美債7-10","35.79","+0.05","35.82","35.82","35.79","389,000","13,930,170","39","35.79","88","35.80","3","41,686,000","9,999.95","0.01"
"00696B","富邦美債20年","30.25","+0.03","30.24","30.28","30.22","3,753,000","113,561,970","148","30.25","395","30.26","28","929,181,000","9,999.95","0.01"
"00697B","元大美債7-10","36.52","+0.06","36.48","36.54","36.48","307,000","11,208,720","78","36.52","8","36.53","46","59,212,000","9,999.95","0.01"
"00718B","富邦中國政策債","21.03","+0.01","21.04","21.05","21.03","103,000","2,167,120","5","21.01","1","21.05","19","6,501,000","9,999.95","0.01"
"00719B","元大美債1-3","31.93","0.00","32.00","32.00","31.92","2,598,000","82,980,090","399","31.93","46","31.94","88","467,514,000","9,999.95","0.01"
"00720B","元大投資級公司債","33.29","+0.12","33.32","33.34","33.27","7,091,000","236,126,550","1,008","33.28","851","33.29","597","4,145,609,000","9,999.95","0.01"
"00722B","群益投資級電信債","36.84","+0.06","36.83","36.88","36.83","2,506,000","92,349,700","141","36.84","146","36.85","1","1,493,239,000","9,999.95","0.01"
"00723B","群益投資級科技債","31.93","+0.10","31.92","31.94","31.92","170,000","5,428,400","10","31.92","1","31.93","1","1,505,083,000","9,999.95","0.01"
"00724B","群益投資級金融債","33.55","+0.06","33.57","33.59","33.55","6,931,000","232,613,100","114","33.55","149","33.56","5","2,845,275,000","9,999.95","0.01"
"00725B","國泰投資級公司債","35.27","+0.07","35.33","35.39","35.26","12,400,000","437,804,810","800","35.26","12","35.27","687","3,544,206,000","9,999.95","0.01"
"00726B","國泰新興投等債","32.94","+0.06","33.00","33.05","32.94","217,000","7,157,530","28","32.94","12","32.96","3","1,168,989,000","9,999.95","0.01"
"00727B","國泰優選非投等債","39.90","0.00","40.16","40.16","39.90","222,000","8,876,170","13","39.87","15","39.92","2","88,689,000","9,999.95","0.01"
"00734B","台新JPM新興債","15.35","+0.09","15.36","15.38","15.35","500,000","7,675,530","7","15.33","50","15.34","5","28,979,000","9,999.95","0.01"
"00740B","富邦全球投等債","38.76","+0.09","38.72","38.82","38.72","4,727,000","183,242,350","140","38.76","529","38.77","5","1,657,471,000","9,999.95","0.01"
"00741B","富邦全球非投等債","38.33","+0.15","38.27","38.36","38.27","461,000","17,680,620","16","38.31","25","38.34","4","17,128,000","9,999.95","0.01"
"00746B","富邦A級公司債","35.68","-0.02","35.76","35.78","35.68","1,490,000","53,237,920","112","35.68","253","35.70","14","2,431,964,000","9,999.95","0.01"
"00749B","凱基新興債10+","30.41","+0.06","30.42","30.42","30.41","110,000","3,345,200","4","30.39","1","30.46","5","955,000,000","9,999.95","0.01"
"00750B","凱基科技債10+","33.92","+0.07","33.92","33.92","33.92","100,000","3,392,000","10","33.88","13","33.89","1","147,500,000","9,999.95","0.01"
"00751B","元大AAA至A公司債","32.58","+0.05","32.55","32.62","32.53","5,612,000","182,839,940","695","32.58","705","32.59","46","4,616,603,000","9,999.95","0.01"
"00754B","群益AAA-AA公司債","35.23","+0.10","35.26","35.26","35.23","200,000","7,047,500","8","35.15","15","35.19","2","869,400,000","9,999.95","0.01"
"00755B","群益投資級公用債","33.43","-0.02","33.37","33.46","33.37","178,000","5,951,920","11","33.40","1","33.42","1","213,230,000","9,999.95","0.01"
"00756B","群益投等新興公債","31.08","+0.02","31.17","31.17","31.07","329,000","10,237,900","40","31.06","11","31.08","4","1,272,300,000","9,999.95","0.01"
"00758B","復華能源債","50.75","+0.05","50.75","50.75","50.75","100,000","5,075,000","2","50.65","25","50.95","10","6,025,000","9,999.95","0.01"
"00759B","復華製藥債","55.00","+0.10","55.00","55.00","55.00","100,000","5,500,000","2","54.85","25","54.90","1","48,025,000","9,999.95","0.01"
