"109年06月10日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","13,450.37","+","96.12","0.72","",
"發行量加權股價指數","11,720.16","+","83.05","0.71","",
"臺灣公司治理100指數","6,696.56","+","52.36","0.79","",
"臺灣50指數","9,020.36","+","74.66","0.83","",
"臺灣50權重上限30%指數","8,877.54","+","69.10","0.78","",
"臺灣中型100指數","8,929.30","+","73.17","0.83","",
"臺灣資訊科技指數","13,301.72","+","134.53","1.02","",
"臺灣發達指數","8,367.26","+","45.27","0.54","",
"臺灣高股息指數","6,760.32","+","16.19","0.24","",
"臺灣就業99指數","6,673.07","+","64.96","0.98","",
"臺灣高薪100指數","6,279.13","+","34.41","0.55","",
"未含金融指數","9,954.93","+","69.35","0.70","",
"未含電子指數","14,694.52","+","75.46","0.52","",
"未含金融電子指數","12,170.07","+","47.10","0.39","",
"小型股300指數","6,683.22","+","12.90","0.19","",
"水泥窯製類指數","600.45","+","3.33","0.56","",
"塑膠化工類指數","791.29","+","2.25","0.29","",
"機電類指數","2,904.17","+","23.85","0.83","",
"水泥類指數","168.22","+","0.18","0.11","",
"食品類指數","1,809.90","+","0.63","0.03","",
"塑膠類指數","238.05","+","0.45","0.19","",
"紡織纖維類指數","512.37","+","2.36","0.46","",
"電機機械類指數","185.43","-","0.14","-0.08","",
"電器電纜類指數","47.93","-","0.17","-0.35","",
"化學生技醫療類指數","101.95","+","0.34","0.33","",
"化學類指數","102.25","-","0.96","-0.93","",
"生技醫療類指數","69.82","+","1.06","1.54","",
"玻璃陶瓷類指數","29.41","+","1.59","5.72","",
"造紙類指數","208.57","-","3.00","-1.42","",
"鋼鐵類指數","93.11","-","0.27","-0.29","",
"橡膠類指數","238.07","+","1.83","0.77","",
"汽車類指數","342.39","+","9.33","2.80","",
"電子工業類指數","519.08","+","4.42","0.86","",
"半導體類指數","221.45","+","2.25","1.03","",
"電腦及週邊設備類指數","108.66","+","0.52","0.48","",
"光電類指數","39.25","+","0.42","1.08","",
"通信網路類指數","126.80","+","0.72","0.57","",
"電子零組件類指數","119.63","+","0.97","0.82","",
"電子通路類指數","125.75","+","0.17","0.14","",
"資訊服務類指數","128.11","-","1.24","-0.96","",
"其他電子類指數","79.89","+","0.47","0.59","",
"建材營造類指數","302.69","-","2.11","-0.69","",
"航運類指數","62.56","-","0.09","-0.14","",
"觀光類指數","97.76","-","1.01","-1.02","",
"金融保險類指數","1,311.56","+","10.32","0.79","",
"貿易百貨類指數","271.53","+","3.71","1.39","",
"油電燃氣類指數","124.53","+","0.38","0.31","",
"其他類指數","275.41","+","1.37","0.50","",
"臺指日報酬兩倍指數","18,584.98","+","261.54","1.43","",
"臺指反向一倍指數","6,315.92","-","45.40","-0.71","",
"電子類兩倍槓桿指數","16,566.30","+","279.74","1.72","",
"電子類反向指數","6,188.20","-","53.61","-0.86","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","4,724.12","+","50.01","1.07","",
"臺灣中小型公司治理指數","6,027.59","+","35.57","0.59","",
"臺灣IPO指數","5,949.30","+","80.71","1.38","",
"智慧中立指數","--","","--","--","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"金融類日報酬兩倍指數","20,280.92","+","316.67","1.59","",
"金融類日報酬反向一倍指數","6,210.56","-","49.65","-0.79","",
"漲升股利150指數","6,375.66","+","28.77","0.45","",
"漲升股利100指數","6,361.04","+","30.40","0.48","",
"藍籌30指數","6,200.90","+","45.27","0.74","",
"工業菁英30指數","6,620.51","+","37.89","0.58","",
"電子菁英30指數","6,672.07","+","48.28","0.73","",
"低波動股利精選30指數","5,995.91","+","22.14","0.37","",
"低貝塔100指數","5,961.92","+","19.02","0.32","",
"藍籌30反向一倍指數","7,397.92","-","54.81","-0.74","",
"中小型精選50指數","6,083.46","+","31.54","0.52","",
"中小型A級動能50指數","8,001.96","+","70.36","0.89","",
"特選高息低波指數","5,449.01","+","30.00","0.55","",
"臺灣永續指數","5,782.64","+","40.31","0.70","",
"工業菁英30反向一倍指數","7,953.15","-","46.04","-0.58","",
"特選內需高收益指數","5,838.84","+","35.01","0.60","",
"價值投資指數","6,597.03","+","3.49","0.05","",
"中小型300指數","6,254.37","+","41.77","0.67","",
"臺灣勞工權益指數","5,522.93","+","39.40","0.72","",
"智慧投資多因子30指數","5,014.06","+","16.09","0.32","",
"臺股期貨指數","--","","--","--","",
"報酬指數(臺灣證券交易所)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價報酬指數","16,950.20","+","122.24","0.73","",
"發行量加權股價報酬指數","21,921.72","+","156.80","0.72","",
"臺灣公司治理100報酬指數","8,271.86","+","64.68","0.79","",
"臺灣50報酬指數","--","","--","--","",
"臺灣50權重上限30%報酬指數","--","","--","--","",
"臺灣中型100報酬指數","--","","--","--","",
"臺灣資訊科技報酬指數","--","","--","--","",
"臺灣發達報酬指數","--","","--","--","",
"臺灣高股息報酬指數","--","","--","--","",
"臺灣就業99報酬指數","9,232.78","+","89.87","0.98","",
"臺灣高薪100報酬指數","7,888.85","+","43.24","0.55","",
"未含金融電子報酬指數","22,948.60","+","93.48","0.41","",
"小型股300報酬指數","7,893.80","+","19.27","0.24","",
"水泥類報酬指數","281.67","+","0.30","0.11","",
"食品類報酬指數","2,524.18","+","0.88","0.03","",
"塑膠類報酬指數","375.26","+","0.72","0.19","",
"紡織纖維類報酬指數","750.50","+","3.45","0.46","",
"電機機械類報酬指數","261.39","-","0.20","-0.08","",
"電器電纜類報酬指數","65.27","-","0.22","-0.34","",
"化學生技醫療類報酬指數","146.77","+","0.49","0.33","",
"化學類報酬指數","155.39","-","1.46","-0.93","",
"生技醫療類報酬指數","92.10","+","1.40","1.54","",
"玻璃陶瓷類報酬指數","33.65","+","1.82","5.72","",
"造紙類報酬指數","290.58","-","4.18","-1.42","",
"鋼鐵類報酬指數","138.71","-","0.41","-0.29","",
"橡膠類報酬指數","347.17","+","2.66","0.77","",
"汽車類報酬指數","497.05","+","13.54","2.80","",
"電子工業類報酬指數","889.69","+","7.58","0.86","",
"半導體類報酬指數","363.00","+","3.69","1.03","",
"電腦及週邊設備類報酬指數","202.63","+","0.97","0.48","",
"光電類報酬指數","52.70","+","0.56","1.07","",
"通信網路類報酬指數","239.58","+","1.35","0.57","",
"電子零組件類報酬指數","202.98","+","1.64","0.81","",
"電子通路類報酬指數","250.77","+","0.34","0.14","",
"資訊服務類報酬指數","254.34","-","1.63","-0.64","",
"其他電子類報酬指數","113.22","+","0.67","0.60","",
"建材營造類報酬指數","525.74","-","1.55","-0.29","",
"航運類報酬指數","84.51","-","0.12","-0.14","",
"觀光類報酬指數","125.75","-","1.29","-1.02","",
"金融保險類報酬指數","2,002.65","+","15.75","0.79","",
"貿易百貨類報酬指數","389.06","+","5.31","1.38","",
"油電燃氣類報酬指數","181.31","+","0.57","0.32","",
"其他類報酬指數","424.43","+","2.11","0.50","",
"報酬指數(跨市場)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技報酬指數","4,968.09","+","52.59","1.07","",
"臺灣中小型公司治理報酬指數","6,938.00","+","40.94","0.59","",
"臺灣IPO報酬指數","6,330.64","+","85.89","1.38","",
"智慧中立報酬指數","--","","--","--","",
"加權指數掩護性臺指買權價外5%報酬指數","--","","--","--","",
"臺灣5G報酬指數","5,456.78","+","38.84","0.72","",
"報酬指數(臺灣指數公司)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"漲升股利150報酬指數","7,561.63","+","34.12","0.45","",
"漲升股利100報酬指數","7,566.51","+","36.16","0.48","",
"藍籌30報酬指數","7,064.64","+","51.57","0.74","",
"工業菁英30報酬指數","7,552.04","+","43.23","0.58","",
"電子菁英30報酬指數","7,541.63","+","54.57","0.73","",
"低波動股利精選30報酬指數","6,856.55","+","27.34","0.40","",
"低貝塔100報酬指數","6,805.59","+","24.48","0.36","",
"中小型精選50報酬指數","7,102.35","+","36.82","0.52","",
"中小型A級動能50報酬指數","8,717.94","+","76.65","0.89","",
"特選高息低波報酬指數","6,343.43","+","34.92","0.55","",
"臺灣永續報酬指數","--","","--","--","",
"特選內需高收益報酬指數","6,501.67","+","38.98","0.60","",
"價值投資報酬指數","7,504.78","+","26.50","0.35","",
"存股雙十等權重報酬指數","5,639.85","+","63.16","1.13","",
"特選大蘋果報酬指數","6,277.25","+","48.76","0.78","",
"中小型300報酬指數","6,536.12","+","45.29","0.70","",
"特股高息20報酬指數","5,586.31","+","11.89","0.21","",
"臺灣500報酬指數","6,299.52","+","46.24","0.74","",
