"109年09月15日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","14,709.11","+","67.40","0.46","",
"發行量加權股價指數","12,845.65","+","57.83","0.45","",
"臺灣公司治理100指數","7,518.48","+","38.18","0.51","",
"臺灣50指數","10,294.14","+","52.51","0.51","",
"臺灣50權重上限30%指數","9,735.10","+","40.76","0.42","",
"臺灣中型100指數","9,537.00","+","32.76","0.34","",
"臺灣資訊科技指數","17,298.88","+","146.06","0.85","",
"臺灣發達指數","8,168.60","-","0.11","--","",
"臺灣高股息指數","6,673.57","+","11.06","0.17","",
"臺灣就業99指數","6,973.71","+","38.27","0.55","",
"臺灣高薪100指數","6,452.56","+","20.52","0.32","",
"未含金融指數","11,144.40","+","54.87","0.49","",
"未含電子指數","14,343.03","+","28.94","0.20","",
"未含金融電子指數","12,057.98","+","28.32","0.24","",
"小型股300指數","7,090.46","+","34.84","0.49","",
"水泥窯製類指數","609.49","-","2.67","-0.44","",
"塑膠化工類指數","761.43","+","3.49","0.46","",
"機電類指數","3,431.52","+","20.27","0.59","",
"水泥類指數","167.97","-","0.87","-0.52","",
"食品類指數","1,688.99","-","10.60","-0.62","",
"塑膠類指數","217.26","+","0.28","0.13","",
"紡織纖維類指數","507.01","","--","--","",
"電機機械類指數","205.14","+","0.29","0.14","",
"電器電纜類指數","55.15","+","0.44","0.80","",
"化學生技醫療類指數","106.67","+","0.98","0.93","",
"化學類指數","109.97","+","0.09","0.08","",
"生技醫療類指數","71.21","+","1.24","1.77","",
"玻璃陶瓷類指數","35.09","+","0.11","0.31","",
"造紙類指數","268.87","+","4.10","1.55","",
"鋼鐵類指數","95.70","-","0.03","-0.03","",
"橡膠類指數","262.58","+","3.40","1.31","",
"汽車類指數","330.54","+","4.83","1.48","",
"電子工業類指數","614.44","+","3.69","0.60","",
"半導體類指數","290.33","+","2.55","0.89","",
"電腦及週邊設備類指數","116.48","+","0.37","0.32","",
"光電類指數","39.85","+","0.18","0.45","",
"通信網路類指數","123.37","-","0.11","-0.09","",
"電子零組件類指數","129.64","+","0.32","0.25","",
"電子通路類指數","123.81","-","0.11","-0.09","",
"資訊服務類指數","125.78","+","1.38","1.11","",
"其他電子類指數","78.70","-","0.06","-0.08","",
"建材營造類指數","328.97","+","0.95","0.29","",
"航運類指數","65.23","+","0.42","0.65","",
"觀光類指數","87.63","+","0.49","0.56","",
"金融保險類指數","1,238.69","+","1.58","0.13","",
"貿易百貨類指數","256.79","-","0.52","-0.20","",
"油電燃氣類指數","108.19","+","0.08","0.07","",
"其他類指數","290.91","+","0.09","0.03","",
"臺指日報酬兩倍指數","22,188.34","+","198.88","0.90","",
"臺指反向一倍指數","5,727.01","-","26.02","-0.45","",
"電子類兩倍槓桿指數","22,962.14","+","274.15","1.21","",
"電子類反向指數","5,170.35","-","31.43","-0.60","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","4,743.18","+","81.07","1.74","",
"臺灣中小型公司治理指數","6,318.50","+","24.73","0.39","",
"臺灣IPO指數","5,789.35","+","19.03","0.33","",
"智慧中立指數","4,437.74","-","3.27","-0.07","",
"臺灣企業社會責任中小型指數","5,252.72","+","34.72","0.67","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"金融類日報酬兩倍指數","18,029.23","+","45.94","0.26","",
